codigo_unico,Orden,nombre,ciudad,estado,latitud,longitud,codigo_ruta,ID_Poligono,eventos,eventos_in_grid,inm_30km,inm_in_grid,inm_in_estado,sc_30km,sc_in_grid,sc_in_estado
S-PG1529-1,1,"Suchiate, Chiapas","Suchiate, Chiapas",Chiapas,14.6321744,-92.241963360953,S,PG1529,25989,26599,0,0,13,3,7,35
S-PG1530-8,2,"Tapachula, Chiapas","Tapachula, Chiapas",Chiapas,14.9042905,-92.2609265,S,PG1530,98486,142180,2,4,13,17,11,35
S-PG1530-5,3,"Huehuetan, Chiapas","Huehuetan, Chiapas",Chiapas,15.0217164,-92.4286697906319,S,PG1530,18319,142180,4,4,13,18,11,35
S-PG1530-4,4,"Huixtla, Chiapas","Huixtla, Chiapas",Chiapas,15.122125,-92.5039970760447,S,PG1530,20836,142180,3,4,13,1,11,35
S-PG1530-2,5,"Villa Comaltitlan, Chiapas","Villa Comaltitlan, Chiapas",Chiapas,15.1709732,-92.6128862908011,S,PG1530,1835,142180,2,4,13,1,11,35
S-PG1492-2,6,"Pijijiapan, Chiapas","Pijijiapan, Chiapas",Chiapas,15.6849991,-93.2080195,S,PG1492,11297,11305,1,1,13,1,1,35
S-PG1453-1,7,"Arriaga, Chiapas","Arriaga, Chiapas",Chiapas,16.2344709,-93.9008414,S,PG1453,19839,20069,0,0,13,3,3,35
S-PG1454-3,8,"Ocozocoautla de Espinosa, Chiapas","Ocozocoautla de Espinosa, Chiapas",Chiapas,16.7931431,-93.4569635533782,S,PG1454,1226,1906,0,0,13,0,0,35
S-PG1493-3,9,"Tuxtla Gutierrez, Chiapas","Tuxtla Gutierrez, Chiapas",Chiapas,16.753801,-93.115959,S,PG1493,15141,15426,1,1,13,3,3,35
G-PG1456-1,10,"Huimanguillo, Tabasco","Huimanguillo, Tabasco",Tabasco,17.7620967,-93.6634408051158,G,PG1456,97523,97523,0,0,3,0,0,0
G-PG1495-1,11,"Cardenas, Tabasco","Cardenas, Tabasco",Tabasco,17.990878,-93.3753314,G,PG1495,13100,92612,0,1,3,0,0,0
G-PG1494-3,12,"Teapa, Tabasco","Teapa, Tabasco",Tabasco,17.5566526,-92.9480504,G,PG1494,9947,19322,0,0,3,0,0,0
G-PG1494-4,13,"Tacotalpa, Tabasco","Tacotalpa, Tabasco",Tabasco,17.5952197,-92.8253388,G,PG1494,9367,19322,0,0,3,0,0,0
G-PG1495-5,14,"Jalapa, Tabasco","Jalapa, Tabasco",Tabasco,17.721716,-92.812012,G,PG1495,7479,92612,0,1,3,0,0,0
G-PG1495-6,15,"Centro, Tabasco","Centro, Tabasco",Tabasco,18.0271588,-92.7747911804616,G,PG1495,71661,92612,1,1,3,0,0,0
G-PG1534-2,16,"Macuspana, Tabasco","Macuspana, Tabasco",Tabasco,17.760922,-92.596108,G,PG1534,34779,35231,0,1,3,0,0,0
S-PG1572-1,17,"Palenque, Chiapas","Palenque, Chiapas",Chiapas,17.509188,-91.980922,S,PG1572,9027,55739,2,2,13,2,5,35
S-PG1572-1,18,"Palenque, Chiapas","Palenque, Chiapas",Chiapas,17.509188,-91.980922,S,PG1572,9027,55739,2,2,13,2,5,35
G-PG1572-3,19,"Tenosique, Tabasco","Tenosique, Tabasco",Tabasco,17.4707129,-91.4220212,G,PG1572,40069,55739,1,2,3,2,5,0
G-PG1573-1,20,"Balancan, Tabasco","Balancan, Tabasco",Tabasco,17.79751665,-91.3458588938522,G,PG1573,1472,1472,0,0,3,0,0,0
S-PG1613-1,21,"Escarcega, Campeche","Escarcega, Campeche",Campeche,18.606934,-90.7385823,S,PG1613,1232,1232,1,1,3,0,0,3
S-PG1614-1,22,"Champoton, Campeche","Champoton, Campeche",Campeche,19.3439655,-90.7242742,S,PG1614,150,158,0,0,3,0,0,3
S-PG1654-1,23,"Campeche, Campeche","Campeche, Campeche",Campeche,19.830285751988,-90.5355146399854,S,PG1654,1754,1777,1,1,3,0,0,3
S-PG1694-1,24,"Merida, Yucatan","Merida, Yucatan",Yucatan,20.9670759,-89.6237402,S,PG1694,931,931,1,1,1,2,2,2
S-PG1850-1,25,"Benito Juarez, Quintana Roo","Benito Juarez, Quintana Roo",Quintana Roo,21.07668085,-86.9263352170841,S,PG1850,1897,1897,0,0,2,0,0,0
