,Entidad Federativa / Municipio,Total,Año
1,Total general,82379,2020
3,Aguascalientes,116,2020
10,Baja California,1925,2020
17,Baja California Sur,15,2020
22,Campeche,85,2020
27,Chiapas,28498,2020
68,Chihuahua,2091,2020
76,Ciudad de México,737,2020
79,Coahuila,5309,2020
88,Colima,9,2020
92,Durango,203,2020
96,México,365,2020
108,Guanajuato,92,2020
115,Guerrero,22,2020
123,Hidalgo,378,2020
143,Jalisco,141,2020
150,Michoacán,11,2020
155,Morelos,34,2020
161,Nayarit,64,2020
166,Nuevo León,3400,2020
203,Entidad Federativa / Municipio,Total,2020
205,Oaxaca,2568,2020
253,Puebla,902,2020
262,Querétaro,327,2020
267,Quintana Roo,264,2020
275,San Luis Potosí,1249,2020
278,Sinaloa,1228,2020
285,Sonora,4343,2020
297,Tabasco,6160,2020
312,Tamaulipas,16023,2020
330,Tlaxcala,226,2020
344,Veracruz,4632,2020
366,Yucatán,221,2020
370,Zacatecas,741,2020
380,Total general,309692,2021
382,Aguascalientes,934,2021
389,Baja California,31084,2021
396,Baja California Sur,97,2021
401,Campeche,194,2021
406,Chiapas,76777,2021
444,Chihuahua,10105,2021
453,Ciudad de México,4931,2021
459,Coahuila,17410,2021
466,Colima,7,2021
470,Durango,1287,2021
474,México,2726,2021
491,Guanajuato,916,2021
499,Guerrero,378,2021
507,Hidalgo,2097,2021
537,Jalisco,432,2021
541,Michoacán,90,2021
548,Morelos,56,2021
558,Nayarit,364,2021
563,Nuevo León,14910,2021
604,Entidad Federativa / Municipio,Total,2021
607,Oaxaca,8140,2021
670,Puebla,4994,2021
675,Querétaro,1766,2021
685,Quintana Roo,1620,2021
695,San Luis Potosí,7988,2021
698,Sinaloa,1409,2021
706,Sonora,14175,2021
715,Tabasco,45221,2021
732,Tamaulipas,25094,2021
752,Tlaxcala,9065,2021
778,Veracruz,21936,2021
828,Yucatán,520,2021
832,Zacatecas,2969,2021
844,Total general,441409,2022
846,Aguascalientes,544,2022
851,Baja California,44004,2022
859,Baja California Sur,131,2022
864,Campeche,1327,2022
873,Chiapas,152448,2022
914,Chihuahua,14028,2022
922,Ciudad de México,5713,2022
929,Coahuila,33814,2022
938,Colima,5,2022
943,Durango,1596,2022
947,México,5348,2022
975,Guanajuato,886,2022
986,Guerrero,322,2022
994,Hidalgo,1925,2022
1017,Jalisco,1677,2022
1028,Michoacán,181,2022
1039,Morelos,70,2022
1055,Nayarit,331,2022
1060,Nuevo León,17710,2022
1102,Entidad Federativa / Municipio,Total,2022
1105,Oaxaca,10973,2022
1159,Puebla,6717,2022
1164,Querétaro,1986,2022
1177,Quintana Roo,1930,2022
1185,San Luis Potosí,5994,2022
1188,Sinaloa,1823,2022
1196,Sonora,23115,2022
1202,Tabasco,46842,2022
1221,Tamaulipas,18019,2022
1244,Tlaxcala,3562,2022
1273,Veracruz,35304,2022
1333,Yucatán,842,2022
1344,Zacatecas,2242,2022
1355,Total general,778907,2023
1357,Aguascalientes,559,2023
1363,Baja California,33882,2023
1372,Baja California Sur,404,2023
1376,Campeche,3630,2023
1387,Chiapas,229379,2023
1426,Chihuahua,10221,2023
1432,Ciudad de México,8915,2023
1438,Coahuila,26155,2023
1445,Colima,18,2023
1450,Durango,1446,2023
1455,México,9586,2023
1475,Guanajuato,199,2023
1487,Guerrero,1478,2023
1494,Hidalgo,1046,2023
1513,Jalisco,1428,2023
1519,Michoacán,322,2023
1530,Morelos,46,2023
1540,Nayarit,221,2023
1544,Nuevo León,16985,2023
1582,Entidad Federativa / Municipio,Total,2023
1585,Oaxaca,8835,2023
1639,Puebla,5069,2023
1642,Querétaro,2190,2023
1647,Quintana Roo,2492,2023
1656,San Luis Potosí,4072,2023
1660,Sinaloa,1070,2023
1667,Sonora,31997,2023
1682,Tabasco,290299,2023
1697,Tamaulipas,10453,2023
1720,Tlaxcala,8007,2023
1753,Veracruz,66439,2023
1810,Yucatán,938,2023
1815,Zacatecas,1126,2023
1829,Total general,712226,2024
1831,Aguascalientes,318,2024
1837,Baja California,31460,2024
1846,Baja California Sur,483,2024
1851,Campeche,2796,2024
1856,Chiapas,240497,2024
1888,Chihuahua,5160,2024
1895,Ciudad de México,5002,2024
1901,Coahuila,11006,2024
1908,Colima,3,2024
1911,Durango,963,2024
1915,México,6305,2024
1936,Guanajuato,20,2024
1940,Guerrero,1376,2024
1944,Hidalgo,1376,2024
1969,Jalisco,25,2024
1973,Michoacán,52,2024
1978,Morelos,536,2024
1989,Nayarit,154,2024
1993,Nuevo León,9731,2024
2024,Entidad Federativa / Municipio,Total,2024
2027,Oaxaca,6132,2024
2067,Puebla,4354,2024
2070,Querétaro,2306,2024
2075,Quintana Roo,2945,2024
2084,San Luis Potosí,2117,2024
2087,Sinaloa,877,2024
2097,Sonora,14322,2024
2118,Tabasco,333824,2024
2133,Tamaulipas,4256,2024
2145,Tlaxcala,2677,2024
2168,Veracruz,19791,2024
2200,Yucatán,776,2024
2207,Zacatecas,586,2024
