Ciudad,Estado,Referencia Geográfica,Descripción,Ruta,Latitud,Longitud,Fuente
"Oaxaca, Oaxaca",Oaxaca,Oaxaca,,Ruta Sur,17.0,-96.5,"Casillas, 2035"
"Salina Cruz, Oaxaca",Oaxaca,Salina Cruz,,Ruta Sur,16.1825,-95.195833,"Casillas, 2036"
"Huatulco, Oaxaca",Oaxaca,Huatulco,,Ruta Sur,15.8337711,-96.3214401,"Casillas, 2037"
"Puerto Escondido, Oaxaca",Oaxaca,Puerto Escondido,,Ruta Sur,15.8693331,-97.0726428,"Casillas, 2038"
"Campeche, Campeche",Campeche,Campeche,,Ruta Sur,19.0,-90.5,"Casillas, 2068"
"Merida, Yucatan",Yucatan,Mérida,,Ruta Sur,20.9670759,-89.6237402,"Casillas, 2069"
"Cancun, Quintana Roo",Quintana Roo,Cancún,,Ruta Sur,21.1617854,-86.8510468,"Casillas, 2070"
"Chetumal, Quintana Roo",Quintana Roo,Chetumal,,Ruta Sur,18.5081738,-88.297144,"Casillas, 2071"
"Playa del Carmen, Quintana Roo",Quintana Roo,Playa del Carmen,,Ruta Sur,20.6308643,-87.0779503,"Casillas, 2072"
"Cozumel, Quintana Roo",Quintana Roo,Cozumel,,Ruta Sur,20.4320599,-86.92069058377268,"Casillas, 2073"
"San Gregorio Chamicico, Oaxaca",Oaxaca,San Gregorio Chamicico,,Ruta Sur,18.313889,-96.795556,"Casillas, 2090"
"Ciudad Cuauhtemoc, Chiapas",Chiapas,Ciudad Cuauhtémoc,,Ruta Sur,15.6661005,-92.0037873,"Casillas, 2091"
"Tapachula, Chiapas",Chiapas,Tapachula,,Ruta Sur,14.9042905,-92.2609265,"Casillas, 2093"
"Puerto Madero, Chiapas",Chiapas,Puerto Madero,,Ruta Sur,14.7157931,-92.4184006,"Casillas, 2094"
"Palenque, Chiapas",Chiapas,Palenque,,Ruta Sur,17.509188,-91.980922,"Casillas, 2099"
"Comitan, Chiapas",Chiapas,Comitan,,Ruta Sur,16.2441097,-92.1348514,"Casillas, 2100"
"Francisco Villa, Quintana Roo",Quintana Roo,Francisco Villa,,Ruta Sur,18.4783097,-88.8429446,"Casillas, 2101"
"Arriaga, Chiapas",Chiapas,Arriaga,,Ruta Sur,16.2344709,-93.9008414,"Casillas, 2142"
"Chahuitea, Oaxaca",Oaxaca,Chahuitea,,Ruta Sur,16.2885299,-94.1942777,"Casillas, 2143"
"Ixtepec, Oaxaca",Oaxaca,Ixtepec,,Ruta Sur,16.5564139,-95.0959653,"Casillas, 2148"
